iter	Passed	Remaining
0	12	6432
1	20	5181
2	24	4047
3	32	4074
4	42	4206
5	45	3772
6	57	4074
7	65	4028
8	77	4226
9	82	4034
10	88	3928
11	110	4483
12	130	4879
13	143	4971
14	159	5167
15	164	4970
16	167	4750
17	176	4717
18	179	4543
19	185	4445
20	199	4561
21	202	4409
22	206	4280
23	211	4202
24	217	4132
25	222	4057
26	230	4031
27	233	3941
28	241	3925
29	244	3834
30	248	3764
31	251	3682
32	255	3620
33	261	3588
34	275	3654
35	290	3741
36	295	3696
37	304	3697
38	308	3651
39	311	3582
40	313	3509
41	319	3480
42	340	3614
43	351	3639
44	356	3605
45	358	3541
46	372	3586
47	377	3558
48	383	3530
49	389	3502
50	404	3561
51	408	3520
52	414	3491
53	417	3450
54	423	3425
55	437	3472
56	443	3443
57	453	3453
58	458	3423
59	462	3389
60	471	3390
61	475	3358
62	481	3337
63	487	3321
64	495	3312
65	500	3293
66	504	3259
67	507	3224
68	510	3187
69	512	3151
70	515	3115
71	526	3129
72	529	3096
73	532	3063
74	535	3036
75	539	3007
76	541	2976
77	545	2952
78	551	2937
79	554	2910
80	557	2882
81	560	2857
82	564	2834
83	564	2798
84	568	2774
85	575	2769
86	581	2758
87	596	2793
88	601	2776
89	606	2761
90	611	2748
91	616	2732
92	626	2743
93	630	2723
94	634	2706
95	639	2690
96	642	2671
97	646	2650
98	649	2631
99	652	2610
100	655	2589
101	665	2595
102	670	2583
103	673	2562
104	676	2545
105	680	2529
106	690	2535
107	694	2522
108	707	2536
109	713	2531
110	716	2512
111	719	2493
112	722	2475
113	726	2459
114	730	2444
115	733	2429
116	737	2412
117	747	2419
118	766	2454
119	776	2457
120	782	2449
121	785	2432
122	788	2416
123	791	2400
124	795	2387
125	799	2371
126	805	2364
127	808	2349
128	817	2350
129	823	2344
130	827	2329
131	830	2316
132	838	2313
133	841	2297
134	845	2284
135	849	2272
136	854	2265
137	859	2253
138	864	2245
139	894	2299
140	897	2284
141	909	2293
142	913	2280
143	920	2274
144	923	2260
145	927	2248
146	944	2268
147	952	2265
148	964	2272
149	969	2261
150	972	2246
151	978	2240
152	982	2227
153	985	2213
154	988	2200
155	992	2188
156	997	2180
157	1010	2188
158	1018	2184
159	1022	2172
160	1027	2163
161	1030	2150
162	1035	2140
163	1039	2129
164	1043	2117
165	1061	2135
166	1068	2130
167	1071	2116
168	1077	2109
169	1081	2099
170	1085	2088
171	1089	2077
172	1093	2066
173	1096	2053
174	1098	2040
175	1106	2036
176	1120	2044
177	1123	2033
178	1128	2023
179	1132	2012
180	1135	2002
181	1138	1989
182	1142	1978
183	1144	1965
184	1148	1956
185	1152	1944
186	1154	1933
187	1157	1921
188	1161	1910
189	1164	1899
190	1169	1891
191	1171	1880
192	1174	1868
193	1177	1856
194	1182	1849
195	1187	1841
196	1192	1833
197	1195	1822
198	1198	1812
199	1201	1802
200	1204	1791
201	1207	1781
202	1211	1771
203	1214	1762
204	1218	1753
205	1222	1744
206	1224	1733
207	1227	1723
208	1231	1714
209	1234	1704
210	1239	1697
211	1242	1687
212	1246	1679
213	1250	1670
214	1257	1666
215	1261	1658
216	1265	1650
217	1268	1641
218	1272	1632
219	1275	1623
220	1279	1615
221	1282	1605
222	1288	1599
223	1290	1590
224	1294	1581
225	1298	1573
226	1300	1564
227	1303	1555
228	1308	1548
229	1314	1543
230	1317	1533
231	1319	1524
232	1322	1515
233	1324	1505
234	1329	1499
235	1332	1490
236	1335	1481
237	1338	1473
238	1343	1467
239	1345	1457
240	1348	1449
241	1355	1444
242	1357	1435
243	1360	1427
244	1363	1419
245	1365	1409
246	1368	1401
247	1369	1391
248	1371	1383
249	1374	1374
250	1376	1365
251	1378	1356
252	1381	1348
253	1384	1340
254	1388	1333
255	1391	1326
256	1400	1324
257	1403	1316
258	1410	1312
259	1413	1304
260	1415	1296
261	1416	1286
262	1419	1278
263	1421	1270
264	1422	1261
265	1425	1253
266	1427	1246
267	1431	1239
268	1433	1231
269	1435	1222
270	1437	1214
271	1439	1206
272	1443	1200
273	1445	1192
274	1448	1184
275	1450	1177
276	1452	1169
277	1456	1163
278	1459	1156
279	1462	1149
280	1465	1142
281	1467	1134
282	1469	1126
283	1471	1119
284	1474	1112
285	1476	1105
286	1480	1098
287	1482	1091
288	1485	1084
289	1488	1077
290	1492	1071
291	1495	1065
292	1498	1058
293	1499	1050
294	1501	1043
295	1503	1036
296	1508	1030
297	1511	1024
298	1514	1017
299	1516	1010
300	1519	1004
301	1521	997
302	1524	991
303	1527	984
304	1529	977
305	1532	971
306	1534	964
307	1536	957
308	1538	951
309	1540	944
310	1542	937
311	1544	930
312	1545	923
313	1547	916
314	1549	910
315	1551	903
316	1553	896
